49 1800 10863
0 0     -3.326500e+02 2.620900e+02
1 0     -1.997600e+02 1.667000e+02
3 0     -2.530600e+02 2.022700e+02
26 0     5.813000e+01 2.718900e+02
29 0     2.382200e+02 2.373700e+02
36 0     3.175500e+02 2.211500e+02
0 1     1.224100e+02 6.554999e+01
1 1     1.233900e+02 6.003003e+01
4 1     1.226800e+02 7.053998e+01
8 1     1.269600e+02 7.732001e+01
20 1     1.372900e+02 9.367999e+01
38 1     1.491600e+02 1.099000e+02
47 1     1.535900e+02 1.145900e+02
0 2     -3.838000e+01 1.638200e+02
1 2     -2.525000e+01 1.467700e+02
2 2     -4.556000e+01 1.730500e+02
3 2     -3.189999e+01 1.543300e+02
4 2     -5.129999e+01 1.835400e+02
5 2     -2.407999e+01 1.379100e+02
6 2     -5.717999e+01 1.940200e+02
7 2     -2.182001e+01 1.321900e+02
8 2     -6.385001e+01 2.075700e+02
9 2     -7.187000e+01 2.219100e+02
10 2     -2.019000e+01 1.193800e+02
11 2     -2.047000e+01 1.262300e+02
12 2     -8.632999e+01 2.520500e+02
13 2     -1.851001e+01 1.149700e+02
15 2     -9.385001e+01 2.683800e+02
17 2     -1.132900e+02 3.111600e+02
20 2     -1.032700e+02 2.887300e+02
33 2     -1.374500e+02 3.611100e+02
35 2     -1.231800e+02 3.360500e+02
38 2     -1.550900e+02 3.990700e+02
47 2     -1.767300e+02 4.384000e+02
0 3     1.260300e+02 4.871002e+01
1 3     1.256600e+02 4.701001e+01
3 3     1.261200e+02 4.890002e+01
5 3     1.207400e+02 4.460999e+01
7 3     1.161000e+02 4.427002e+01
10 3     1.078600e+02 4.048999e+01
11 3     1.121900e+02 4.306000e+01
13 3     1.048500e+02 3.895001e+01
16 3     9.676001e+01 3.626001e+01
22 3     1.007200e+02 3.742999e+01
30 3     9.035999e+01 3.540997e+01
34 3     8.295999e+01 3.496002e+01
39 3     8.435001e+01 3.484003e+01
43 3     8.039001e+01 3.379999e+01
45 3     8.957001e+01 3.403998e+01
0 4     1.170100e+02 9.019000e+01
1 4     1.186300e+02 8.329999e+01
4 4     1.166600e+02 9.620999e+01
6 4     1.181400e+02 9.979001e+01
8 4     1.205100e+02 1.050400e+02
9 4     1.219300e+02 1.096900e+02
12 4     1.264600e+02 1.178500e+02
20 4     1.297500e+02 1.269000e+02
33 4     1.370000e+02 1.417000e+02
